Primary_Name,Primary_Location,Alt_primary_Names,Original_Name,Pleiades,Region ,Pliny?,X,Y,Z,Geog_certainty,Dependent_upon,Replaced,Replaced_By,Speed_of_Replace,Port_Name,Port_Cert,Attrib_People1,Attrib_People2,Attrib_People3,Prev_People,Prev_Occ ,Occ_Date_U,Occ_Date_L,Occ_Date_Cert,Multi_Location,Multi_Loc_Cert,ML_Date_U,ML_Date_L,ML_Date_Cert,Disp_Sett_U,Disp_Sett_L,Incompl_Urb,Intense_Urb_U ,Intense_Urb_L ,Aband_Date_U,Aband_Date_L,Necrop_Only,Permanent,Destroyed,Destr_Date_U,Destr_Date_L,Post_Urban,GF_Status,Boundary_Known,SA_O,SA_O_EP,SO_O_Cert,SA_O_AL,SA_O_AU,SA_N,SA_N_EP,SA_N_Cert,SA_N_AL,SA_N_AU,SA_Expansion,SA_Exp_Date_U,SA_Exp_Date_L,SA_Exp_Date_Cert,SA_Reduction,SA_Red_Date_U,SA_Red_Date_L,SA_Red_Date_Cert,Defensible_Top,Fort_Survival,Mult_Circuits ,Fort_O_Date_U,Fort_O_Date_L,Fort_O_Date_Cert,Fort_O_Alt_U,Fort_O_Alt_L,Fort_R1_Date_U,Fort_R1_Date_L,Fort_R1_Date_Cert,Fort_R1_Alt_U,Fort_R1_Alt_L,Fort_R2_Date_U,Fort_R2_Date_L,Fort_R2_Date_Cert,Fort_R2_Alt_U,Fort_R2_Alt_L,Fort_R3_Date_U,Fort_R3_Date_L,Fort_R3_Date_Cert,Fort_R3+,Regular_Plan,RP_Date_U,RP_Date_L,RP_Date_Cert,New_Plan,NP_Date_U,NP_Date_L,NP_Date_Cert,Forum_Agora,Assembly_Place,Temple,Theatre,Amphitheatre,Basilica,Bath,Roman_Subj_Date_U,Roman_Subj_Date_L,Col_Type,Colony_Date_U,Colony_Date_L,Legal_Status1,Leg_St1_Date_U,Leg_St1_Date_L,Legal_Status2,Leg_St2_Date_U,Leg_St2_Date_L,Legal_Status3,Leg_St3_Date_U,Leg_St3_Date_L,ROADS,
Aesis,Iesi,,Y,Y,6,Y,13.243375,43.522416,97,certain,-,-,-,-,-,-,Picentine ,-,-,-,-,-800,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unclear,10,P,Low,-,-,-,-,-,-,-,Low,-27,14,Unconfirmed,-,-,-,-,elevation,Confirmed,-,-,-,-,-,-,-27,14,Medium,-,-,-,-,-,-,-,-,-,-,-,suspected,-,-,-,-,-,-,-,Forum undated,-,-,Theatre 1st c AD,-,-,Bath undated,-299,-268,Con,-247,-247,MP,-268,14,-,-,-,-,-,-,ON,
Afilae,Affile,,Y,Y,1,N,13.097666,41.885123,685,likely,-,-,-,-,-,-,Aequian,Hernican,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Suspected,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-304,-298,-,-,-,HCSS,-325,-300,MP,-298,14,-,-,-,ON,
Agropoli,Agropoli,,N,Y,3,N,14.989448,40.350569,66,certain,-,-,-,-,Agropoli,possible,Lucanian ,-,-,-,-,-625,-300,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-326,-272,-,-,-,-,-,-,-,-,-,-,-,-,NEAR,
Alba Fucens,Alba Fucens (Albe),,Y,Y,4,Y,13.411669,42.079742,1022,certain,-,-,-,-,-,-,Aequian,Marsic ,-,-,-,-400,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,partial,32,P,Medium,32,34,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-303,-280,High,-,-,-280,-250,High,-,-,-,-,-,-,-,-,-,-,-,confirmed,-300,-200,High,-,-,-,-,Forum 3rdc,AP 2ndc BC,Temple 3rdc BC,Theatre 1stc BC,Amphi 1stc AD,Bas 1stc BC,Bath 1stc AD,-304,-298,LC,-303,-303,-,-,-,-,-,-,-,-,-,ON,
Alba Pompeia,Alba,,Y,Y,9,Y,8.035244,44.700835,178,certain,-,-,-,-,Alba Pompeia,suspected,Roman ,-,-,Ligurian,-,-100,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,very clear,39,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,Confirmed,-,-27,14,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-27,14,High,-,-,-,-,Forum Aug,-,Temple Aug,Theatre 1st c AD,-,-,Bath Susp,-238,-155,-,-,-,M,-49,-49,-,-,-,-,-,-,ON,
Albano di Lucania,Albano di Lucania,,N,N,3,N,16.0363472,40.5856583,893,certain,-,-,-,-,-,-,Lucanian ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,partial,6.8,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-400,-300,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-326,-272,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Albium Intimilium ,Ventimiglia,Albintimilium,Y,Y,9,Y,7.625772,43.789146,52,certain,-,-,-,-,Albium Intimilium,Good evidence,Ligurian,-,-,-,I,-350,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unclear,24,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,Confirmed,-,-70,-50,Unconfirmed,-80,-60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-120,-100,Unconfirmed,-,-,-,-,Forum suspected,-,-,Theatre 2ndc AD,-,-,Bath 1stc AD,-238,-155,-,-,-,M,-49,-49,-,-,-,-,-,-,ON,
Album Ingaunum ,Albenga,Albingaunum,Y,Y,9,Y,8.21493,44.0484,12,certain,-,-,-,-,Album Ingaunum,possible,Ligurian,-,-,-,-,-400,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,interpreted,6.2,E,Medium,-,-,-,-,-,-,-,High,0,300,Unconfirmed,-,-,-,-,partial water,Confirmed,-,-80,-50,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-,-,-,-,-,-,-,Forum suspected,-,-,-,Amphi 2ndc AD,-,Bath 2ndc AD,-238,-155,-,-,-,M,-49,-49,-,-,-,-,-,-,ON,
Aletium ,Alezio,"Alytia, Aletion, Baletium",Y,Y,2,Y,18.059097,40.062362,74,certain,-,-,-,-,-,-,Messapian ,-,-,-,I,-600,500,Medium,-,-,-,-,-,-,-,-,-350,-250,-,-,-,-,-,-,-,-,NGF,interpreted,64,P,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,Low,-200,14,Medium,slight elevation,Confirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,partly planned,-27,100,Medium,-,-,-,-,Forum suspected,-,-,-,-,-,-,-290,-266,-,-,-,MP,-266,14,-,-,-,-,-,-,ON,
Aletrium,Alatri,,Y,Y,1,Y,13.343955,41.724822,494,certain,-,-,-,-,-,-,Hernican,-,-,-,-,-600,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,interpreted,21,P,Unconfirmed,21,25,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,concentric walls,-550,-500,Unconfirmed,-,-,-400,-300,Medium,-325,-300,-325,-275,Medium,-225,-175,-,-,-,-,confirmed,-,-,-,Suspected,-125,-100,Medium,Forum undated,-,Temple suspected,-,-,Bas 2ndc BC,Bath 2ndc AD,-493,-358,-,-,-,CSS,-306,-306,M,-90,-89,-,-,-,ON,
Allifae,Alife,,Y,Y,1,Y,14.330592,41.328486,110,certain,-,Monte Cila,-,Unknown,-,-,SamPen,-,-,-,-,-700,500,Medium,Replacement,High,-90,-40,High,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,very clear,22,P,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,Complete,-,-82,-33,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-82,-33,Medium,-,-,-,-,Forum undated,-,-,Theatre 1stc BC,Amphi Aug,-,Bath undated,-343,-290,-,-,-,CSS,-268,-268,P,-268,-268,C,-59,-33,ON,
Alsium,Palo nr. Ladispoli,,Y,Y,1,Y,12.102342,41.9337322,2,uncertain,-,-,-,-,Alsium,suspected,Etruscan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-396,-351,RC,-247,-247,-,-,-,-,-,-,-,-,-,ON,
Altamura,Altamura,,N,Y,2,N,16.554519,40.830269,473,certain,-,-,-,-,-,-,Peucetian ,-,-,-,-,-900,0,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,partial,106.2,E,Medium,-,-,-,-,-,-,-,-,-,-,-,High,-200,0,High,part elevation,Sections visible,-,-425,-400,Medium,-350,-300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-326,-272,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Ameria,Amelia,,Y,Y,6,Y,12.413467,42.557237,406,certain,-,-,-,-,-,-,Umbrian ,-,-,-,B,-900,500,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,very clear,20,P,Medium,20,32,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-250,-200,Medium,-350,-275,-125,-100,Medium,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum undated,-,-,Theatre 1stc BC,Amphi Susp,-,Bath 2ndc AD,-308,-295,-,-,-,M,-90,-89,-,-,-,-,-,-,ON,
Amiternum,"San Vittorino, L'Aquila",,Y,Y,4,Y,13.306,42.400556,678,certain,-,-,-,-,-,-,Sabine,-,-,-,-,-9999,500,Low,Unclear,High,-100,0,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,partial,35,P,Medium,-,-,80,E,Low,60,80,High,-100,0,Medium,-,-,-,-,part elevation,Confirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,partly planned,-27,14,Medium,-,-,-,-,Forum undated,-,Temple undated,Theatre Aug,Amphi 1stc AD,Bas Aug,Bath 3rdc AD,-500,-290,-,-,-,HCSS,-290,-290,P,-27,14,HM,14,999,ON,
Amyclae,"Monte Pianara, Fondi",,Y,N,1,N,13.4597778,41.3556,321,certain,-,-,Fundi,100yrs,-,-,Volscian,Ausonian,Greek,-,-,-500,-200,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GF,very clear,33,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-500,-300,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,suspected,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-495,-303,-,-,-,-,-,-,-,-,-,-,-,-,NEAR,
Anagnia,Anagni,,Y,Y,1,Y,13.158962,41.742213,450,certain,-,-,-,-,-,-,Hernican,-,-,-,-,-650,400,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unclear,21,P,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-306,-275,High,-,-,-225,-175,Unconfirmed,-,-,-125,-50,Unconfirmed,-,-,-100,-75,Medium,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-493,-358,-,-,-,CSS,-306,-306,-,-,-,-,-,-,ON,
Ancona ,Ancona,Ancon,Y,Y,5,Y,13.518992,43.615842,85,certain,-,-,-,-,Ancona,Good evidence,Picentine ,Greek,-,-,-,-900,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,partial,30,P,Low,17,30,-,-,-,-,-,Low,98,117,High,-,-,-,-,water and elevation combo,Sections visible,-,-150,-50,Medium,-400,-300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-,-,-,-,-,-,-,Forum suspected,-,Temple 2ndc BC,-,Amphi Aug,-,Bath Aug,-299,-268,-,-,-,M,-90,-89,C,-43,-33,-,-,-,ON,
Angitiae Lucus ,Luco dei Marsi,"Lucus Angitiae, Anxa, Angitia, Colle Penna, Angizia, Monte Penna",Y,Y,4,Y,13.4603306,41.9705194,846,certain,-,-,-,-,Angitiae Lucus,Good evidence,Marsic ,-,-,-,-,-600,400,High,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,GF,partial,14,P,Low,-,-,30,P,High,-,-,High,-350,-300,High,-,-,-,-,water and elevation combo,Sections visible,-,-,-,-,-,-,-350,-300,High,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,Temple Aug,-,-,-,-,-340,-302,-,-,-,M,-90,-89,-,-,-,-,-,-,NEAR,
Angulum,Spoltore,Angulus,Y,N,4,Y,14.1388167,42.4545167,172,uncertain,-,-,-,-,-,-,Roman ,-,-,Vestinian,-,-50,500,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-343,-290,-,-,-,MP,-290,14,-,-,-,-,-,-,FAR,
Antemnae,Monte Antenne,,Y,Y,1,N,12.500656,41.937528,78,certain,-,-,-,-,-,-,Roman ,-,-,Latin,-,-800,-200,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,GF,interpreted,13,P,Unconfirmed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Confirmed,-,-600,-500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-800,-200,-,-,-,-,-,-,-,-,-,-,-,-,FAR,
Antinum ,Civita d'Antino,,Y,Y,4,Y,13.469873,41.886242,906,certain,-,-,-,-,-,-,Marsic ,-,-,-,-,-500,500,Medium,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,NGF,partial,15,P,Low,13.6,19,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-500,-300,High,-500,-400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,-,-340,-302,-,-,-,M,-49,-49,-,-,-,-,-,-,ON,
Antium,Anzio,,Y,Y,1,Y,12.628995,41.44795,43,certain,-,-,-,-,Antium,Good evidence,Volscian,-,-,Latin,-,-800,500,High,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,partial,22,P,Medium,21,26,89,P,Low,74,95,High,-100,0,Low,-,-,-,-,slight elevation,Confirmed,-,-700,-650,High,-,-,-500,-475,High,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,Theatre 1st c AD,-,-,Bath undated,-493,-338,RC,-338,-338,C,54,68,-,-,-,-,-,-,ON,
Anxa ,Gallipoli,Kallipolis,Y,Y,2,Y,17.978842,40.056251,18,likely,-,-,-,-,Anxa,suspected,Messapian ,-,-,-,-,-400,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-290,-266,-,-,-,-,-,-,-,-,-,-,-,-,ON,
Anxanum ,Lanciano,"Anxa, Anxia, Anxanon",Y,Y,4,Y,14.391377,42.233175,279,certain,-,-,-,-,-,-,Frentanian,-,-,-,-,-1200,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,interpreted,6,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,good evidence,-,-,-,-,-,-,-,Forum suspected,-,-,Theatre undated,-,-,-,-319,-304,-,-,-,M,-90,-89,-,-,-,-,-,-,ON,
Anxia,Anzi ,,Y,Y,3,N,15.925556,40.517656,1006,certain,-,-,-,-,-,-,Lucanian ,-,-,-,-,-500,-300,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unclear,5.5,P,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,Sections visible,-,-350,-300,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-326,-272,-,-,-,-,-,-,-,-,-,-,-,-,NEAR,
Aquae Statiellae ,Acqui Terme,Statiellensium,Y,Y,9,Y,8.470658,44.675532,178,certain,-,-,-,-,-,-,Roman ,-,-,Ligurian,-,-100,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unclear,29,P,Medium,28,30,-,-,-,-,-,-,-,-,-,-,-,-,-,slight elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,suspected,-,-,-,-,-,-,-,Forum Aug,-,-,Theatre undated,Amphi undated,-,Bath 1stc AD,-238,-155,-,-,-,M,-155,14,-,-,-,-,-,-,ON,
Aquilonia,Lacedonia,,Y,Y,2,Y,15.425269,41.053314,730,likely,-,-,-,-,-,-,SamHirp,-,-,-,N,-350,500,Medium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NGF,unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,elevation,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unknown,-,-,-,-,-,-,-,Forum suspected,-,-,-,-,-,Bath undated,-343,-290,-,-,-,M,-90,-89,-,-,-,-,-,-,ON,
Aquinum,Aquino,,Y,Y,1,Y,13.6916056,41.498325,112,certain,-,-,-,-,-,-,Volscian,-,-,Auruncan,-,-400,500,Medium,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,GF,partial,12,E,Low,-,-,100,P,High,85,100,High,-125,-100,High,High,0,100,Medium,no,Confirmed,-,-125,500,Low,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,confirmed,-59,-33,Medium,-,-,-,-,Forum undated,-,Temple 2ndc BC,Theatre Aug,Amphi 1stc AD,-,Bath 1stc BC,-495,-303,-,-,-,P,-275,-250,M,-90,-89,C,-59,-33,ON,
